12098,100 Black Men of America Inc., 141 Auburn Avenue Atlanta GA 30303 tel: (404) 688-5100 fax: (404) 688-1028 : 58-1974429 ,http://www.100blackmen.org/,2 stars,$3925557,Human Services,Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12098,info@100bmoa.org
8770,1000 Friends of Oregon, 133 SW 2nd Ave Suite 201 Portland OR 97204 tel: (503) 497-1000 fax: (503) 223-0073 : 93-0642086,http://www.friends.org,2 stars,$794728,Environment,Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8770,info@friends.org
10176,A Noise Within, 3352 East Foothill Boulevard Pasadena CA 91107 tel: (626) 356-3100 fax: (626) 356-3120 : 95-4443878 ,http://www.anoisewithin.org,2 stars,$1889595,Arts Culture Humanities,Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10176,donors@anoisewithin.org
13189,Abandoned Children's Fund, 2360 Mendocino Ave A2-220 Santa Rosa CA 95403 tel: (888) 884-0657 fax: (888) 884-0567 : 20-5967513 ,http://www.abandonedchildrensfund.org,2 stars,$11076577,International,Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13189,ken@acf-mail.org
11870,Abraham House, 340 Willis Avenue MottHaven Station Bronx NY 10454 tel: (718) 292-9321 fax: (718) 292-5925 : 13-3721924,http://www.abrahamhouse.org,2 stars,$845838,Human Services,Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11870,pbaker@abrahamhouse.org
15194,Abraham Lincoln Presidential Library Foundation, 500 East Madison Street Suite 200 Springfield IL 62701 tel: (217) 557-6250 fax: (217) 558-6041 : 36-4385644,http://www.alplm.org/,2 stars,$5278451,Arts Culture Humanities,Libraries Historical Societies and Landmark Preservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15194,pevans@alplm.org
14539,Absolute Return for Kids US, 25 West 53rd Street 14th Floor New York NY 10019 tel: (212) 417-9404 : 13-4147912,http://www.us.arkonline.org,2 stars,$2578909,International,Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14539,
12762,Abused Deaf Women's Advocacy Services, 8623 Roosevelt Way NE Seattle WA 98115 tel: (260) 922-7088 fax: (206) 726-0017 : 91-1339173 ,http://www.adwas.org/,2 stars,$1281958,Human Services,Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12762,adwas@adwas.org
14568,Academy of Fine Arts, 600 Main Street Lynchburg VA 24504 tel: (434) 528-3256 : 23-7061145 null,http://www.academyfinearts.com,2 stars,$2751685,Arts Culture Humanities,Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14568,Info@AcademyFineArts.com
9103,Academy of Television Arts & Sciences Foundation, 5220 Lankershim Boulevard North Hollywood CA 91601 tel: (818) 754-2800 : 95-2283284 null,http://emmys.org/foundation/,2 stars,$2343235,Education,Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9103,clark@emmys.org
13171,Acres of Love, 31920 Del Obispo Suite 175 San Juan Capistrano CA 92675 tel: (949) 379-8110 fax: (949) 606-8850 : 33-0930465,,2 stars,$2045301,International,Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13171,
8757,ActionAid USA, 1420 K Street NW Suite 900 Washington DC 20005 tel: (202) 835-1240 fax: (202) 835-1244 : 52-2277575,http://www.actionaidusa.org/,2 stars,$2310129,International,Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8757,takeaction@actionaid.org
5018,Adirondack Historical Association, P.O. Box 99 9097 State Road 30 Blue Mountain Lake NY 12812 tel: (518) 352-7311 fax: (518) 352-7653 : 13-5635801,http://www.adkmuseum.org,2 stars,$4354808,Arts Culture Humanities,Museums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5018,info@adirondackmuseum.org
13962,African Bible Colleges, P.O. Box 103 Clinton MS 39060 tel: (601) 922-1962 fax: (601) 922-6655 : 64-0592533,http://africanbiblecolleges.org/,2 stars,$3729207,Religion,Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13962,
5857,African Enterprise, 128 East Palm Avenue Monrovia CA 91016 tel: (800) 672-3742 fax: (626) 359-2069 : 95-2275044 ,http://www.africanenterprise.org,2 stars,$1060950,Religion,Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5857,info@aeusa.org
9463,African Leadership, 500 Wilson Pike Circle Suite 117 Brentwood TN 37027 tel: (615) 595-8238 : 31-1736706P.O. Box 2888,http://www.africanleadershipinc.org/,2 stars,$2853653,International,Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9463,info@africanleadershipinc.org
5635,Agape Villages, 3160 Crow Canyon Place Suite 120 San Ramon CA 94583 tel: (866) 922-4273 fax: (925) 866-0305 : 68-0226944,http://www.agapevillages.org,2 stars,$2023346,Human Services,Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5635,info@agapevillages.org
12270,AHRC New York City Foundation, 83 Maiden Lane New York NY 10038 tel: (212) 780-2690 fax: (212) 780-2398 : 13-3779611 ,http://www.ahrcnycfoundation.org/,2 stars,$2185612,Public Benefit,Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12270,info@ahrcnycfoundation.org
11185,AID FOR AIDS International, 515 Greenwich Street Suite 506 New York NY 10013 tel: (212) 337-8043 fax: (212) 337-8045 : 13-3954568,http://www.aidforaids.org,2 stars,$7039327,International,Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185,webmaster@aidforaids.org
