10196,American Civil Rights Union, 3213 Duke Street Suite 625 Alexandria VA 22314 tel: (877) 730-2278 : 52-2121856 ,http://www.theacru.org/,0 stars,$2616229,Public Benefit,Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10196,info@theacru.org
6610,American Federation of Police and Concerned Citizens, 6350 Horizon Drive Titusville FL 32780 tel: (321) 264-0911 fax: (321) 264-0033 : 52-1127259 ,http://www.afp-cc.org/,0 stars,$3959792,Human Services,Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6610,policeinfo@aphf.org
8626,American Friends of Neveh Zion, 68-01 Main Street Flushing NY 11367 tel: (718) 261-3900 fax: (718) 263-8936 : 13-3119118null,,0 stars,$970244,International,Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8626,nevehzion@somersteinrealty.com
3267,American Jewish Congress, 115 East 57th Street Suite 1122 New York NY 10022 tel: (212) 879-4500 fax: (212) 758-1633 : 13-1679610,http://www.ajcongress.org,0 stars,$357569,International,International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3267,contact@ajcongress.org
14116,Ariel Ministries, PO Box 792507 San Antonio TX 78279 tel: (210) 344-7707 fax: (210) 344-1114 : 74-1930400 ,http://ariel.org/,0 stars,$2432328,Religion,Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14116,homeoffice@ariel.org
13612,Autism Spectrum Disorder Foundation, 228 West Lincoln Highway 301 Schererville IN 46375 tel: (877) 806-0635 fax: (484) 423-2346 : 20-8820570 ,http://www.myasdf.org/site/,0 stars,$3847816,Health,Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13612,info@myasdf.org
14115,Bibles for America, 355 Goddard Suite 100 Irvine CA 92618 tel: (888) 551-0102 fax: (949) 727-0009 : 33-0912609,http://biblesforamerica.org/,0 stars,$2073421,Religion,Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14115,info@bfa.org
7147,Blinded Veterans Association, 477 H Street NW Washington DC 20001 tel: (800) 669-7079 fax: (202) 371-8258 : 53-0214281 ,http://www.bva.org/,0 stars,$3925054,Human Services,Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7147,bva@bva.org
11770,California Police Youth Charities, 7401 Galilee Road Spc. #350 Roseville CA 95678 tel: (916) 787-4201 fax: (916) 787-4246 : 30-0121107,http://www.calpyc.com/,0 stars,$2372045,Human Services,Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11770,cbuzzeaton@msn.com
11919,Camp Highland, 1200 Camp Highland Road Ellijay GA 30540 tel: (678) 393-0300 fax: (678) 393-0301 : 58-2064309,http://www.camphighland.com,0 stars,$1588671,Religion,Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11919,
