6574,Adventure Unlimited, 5201 South Quebec Street Greenwood Village CO 80111 tel: (888) 416-7348 fax: (303) 773-0291 : 43-0798771 ,http://www.adventureunlimited.org/,3 stars,"$4,311,377 ",Human Services,Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6574,
8192,Akron-Canton Regional Foodbank, 350 Opportunity Parkway Akron OH 44307 tel: (330) 535-6900 fax: (330) 996-5337 : 34-1369388 ,http://www.akroncantonfoodbank.org,3 stars,"$29,169,561 ",Human Services,Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8192,
6574,Adventure Unlimited, 5201 South Quebec Street Greenwood Village CO 80111 tel: (888) 416-7348 fax: (303) 773-0291 : 43-0798771 ,http://www.adventureunlimited.org/,3 stars,"$4,311,377 ",Human Services,Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6574,audbcommunity@adventureunlimited.org
8192,Akron-Canton Regional Foodbank, 350 Opportunity Parkway Akron OH 44307 tel: (330) 535-6900 fax: (330) 996-5337 : 34-1369388 ,http://www.akroncantonfoodbank.org,3 stars,"$29,169,561 ",Human Services,Food Banks Food Pantries and Food Distribution,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8192,josie@akroncantonfoodbank.org
6247,Alliance for Global Justice, 225 E. 26th St. Tucson AZ 85713 tel: (202) 544-9355 : 52-2094677 null,http://www.afgj.org,3 stars,"$3,308,202 ",International,International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6247,afgj@afgj.org
6466,10000 Degrees, 781 Lincoln Avenue Suite 140 San Rafael CA 94901 tel: (415) 459-4240 fax: (415) 459-0527 : 95-3667812,http://www.10000degrees.org,3 stars,"$4,357,789 ",Education,Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6466,info@10000degrees.org
10092,1000 Friends of Florida, 308 North Monroe Street Tallahassee FL 32301 tel: (850) 222-6277 fax: (850) 222-1117 : 59-2761163P.O. Box 5948,http://www.1000fof.org/,3 stars,"$608,188 ",Environment,Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10092,friends@1000fof.org
15235,24 Hours of Booty, 500 East Morehead Street Suite 218 Charlotte NC 28202 tel: (877) 365-4417 fax: (704) 365-4418 : 20-3768277,http://www.24hoursofbooty.org/,3 stars,"$2,550,273 ",Public Benefit,Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15235,info@24hoursofbooty.org
13546,The 52nd Street Project, 789 Tenth Avenue New York NY 10019 tel: (212) 333-5252 : 13-3467948 null,http://www.52project.org,3 stars,"$1,214,335 ",Human Services,Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13546,sheehy@52project.org
14961,9to5 National Association of Working Women, 207 East Buffalo Street Suite 211 Milwaukee WI 53202 tel: (414) 274-0925 fax: (414) 272-2870 : 34-1246311,http://9to5.org/,3 stars,"$1,672,524 ",Public Benefit,Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961,9to5@9to5.org
6082,A Better Chance, 253 West 35th Street 6th Floor New York NY 10001 tel: (646) 346-1310 fax: (646) 346-1311 : 23-7173492,http://www.abetterchance.org,3 stars,"$6,716,285 ",Education,Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6082,twest@abetterchance.org
3634,A Contemporary Theatre, Kreielsheimer Place 700 Union Street Seattle WA 98101 tel: (206) 292-7660 fax: (206) 292-7670 : 91-0787792,http://www.acttheatre.org,3 stars,"$5,996,525 ",Arts Culture Humanities,Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3634,development@acttheatre.org
9239,A Kid Again, 777-G Dearborn Park Lane Columbus OH 43085 tel: (800) 543-9735 fax: (614) 797-9600 : 31-1440073 ,http://www.akidagain.org,3 stars,"$1,790,536 ",Health,Patient and Family Support,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9239,customerservice@akidagain.org
14435,A Woman's Choice Resource Center, 101 West Market Street Louisville KY 40202 tel: (502) 589-9400 : 61-1142823 null,http://awomanschoice.org/,3 stars,"$1,157,287 ",Human Services,Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14435,leisa.r@awomanschoice.org
6096,A.J. Muste Memorial Institute, 339 Lafayette Street New York NY 10012 tel: (212) 533-4335 fax: (212) 228-6193 : 23-7379088 ,http://www.ajmuste.org/,3 stars,"$971,758 ",Public Benefit,Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6096,info@ajmuste.org
11128,AACA Museum, 161 Museum Drive Hershey PA 17033 tel: (717) 566-7100 fax: (717) 566-7300 : 25-1716419 ,http://www.aacamuseum.org,3 stars,"$1,618,031 ",Arts Culture Humanities,Museums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11128,info@aacamuseum.org
3205,AARP Foundation, 601 E Street NW Washington DC 20049 tel: (800) 775-6776 fax: (202) 434-6507 TTY: (877) 434-7598 : 52-0794300,http://www.aarp.org/about_aarp/aarp_foundation/,3 stars,"$142,261,658 ",Public Benefit,Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3205,legacy@aarp.org
7940,Abilities United, 525 East Charleston Road Palo Alto CA 94306 tel: (650) 494-0550 fax: (650) 855-9710 : 94-1546643 ,http://abilitiesunited.org,3 stars,"$6,406,304 ",Human Services,Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7940,info@abilitiesunited.org
14731,The Abraham Lincoln Foundation, 140 South Broad Street Philadelphia PA 19102 tel: (215) 587-6455 fax: (215) 851-8789 : 23-2822856 ,http://www.ulheritagecenter.org/the-abraham-lincoln-foundation/alf-overview/,3 stars,"$1,424,809 ",Arts Culture Humanities,Libraries Historical Societies and Landmark Preservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14731,foundations@unionleague.org
